ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0446606812,"","","","","",0,""
0684195305,"","","","","",0,""
0752837168,Void Moon,"A young woman finds herself caught up in a scam which may cost her the one thing she values more than her life... Cassie Black has been lured back to the criminal profession she gave up - robbing gamblers of their winnings - by a proposition that is just too good to miss. The job goes as planned, except that the target has too much money. It can only mean someone very powerful is going to be very angry indeed. Cassie finds herself on the run from a killer who seems to know her every move in advance. Worse still, he is closing in on the one thing Cassie will do anything to protect.",Michael Connelly,2000,"",407,Antiheroes
044809505X,Nancy Drew Mystery Stories,"Nancy arrives in Phoenix, Arizona, eagerly looking forward to a fun-filled vacation at Shadow Ranch, but abruptly finds herself involved in a baffling mystery. The ranch is being haunted by a phantom horse and maliciously damaged by an unknown enemy.",Carolyn Keene,1965,"",202,Ranches
051513306X,"","","","","",0,""
0743233476,"","","","","",0,""
1551669072,"","","","","",0,""
0553377868,"","","","","",0,""
0399149309,"","","","","",0,""
0440224675,"","","","","",0,""
0449212602,"","","","","",0,""
080213825X,Four Blondes,"Four beautiful women, a model, a columnist, a socialite and a writer, face turning points in which each must choose between her passions.",Candace Bushnell,2001,"",260,Fiction
0609804138,"","","","","",0,""
0446604089,"","","","","",0,""
0425169863,Point of Origin,Virginia medical examiner Kay Scarpetta finds herself up against a killer who hids his crimes with fire,Patricia Daniels Cornwell,1998,Penguin,420,Fiction
0451202538,"","","","","",0,""
0425180638,"","","","","",0,""
0590443321,"","","","","",0,""
0425143325,"","","","","",0,""
038072345X,"","","","","",0,""
044900192X,"","","","","",0,""
0446611867,"","","","","",0,""
0060955775,"","","","","",0,""
0060083298,"","","","","",0,""
0312983271,"","","","","",0,""
0425179885,"","","","","",0,""
0440209358,"","","","","",0,""
0789254484,"","","","","",0,""
0671729497,"","","","","",0,""
0449904628,"","","","","",0,""
0451187741,"","","","","",0,""
074324642X,"","","","","",0,""
0439282462,"","","","","",0,""
0345408039,"","","","","",0,""
0553272535,"","","","","",0,""
0062500260,Medicine Woman,"A fascinating Castaneda-like spiritual journey into the wilderness of Manitoba, where Lynn Andrews meets Agnes Whistling Elk, the Native American \"heyoehkah,\" or shaman, who will change her life.",Lynn V. Andrews,1983-10-26,Harper Collins,228,"Body, Mind & Spirit"
0515121843,"","","","","",0,""
0140067477,"","","","","",0,""
0671744062,The Firebrand,"Blending archaeological fact and legend, the myths of the gods and the feats of heroes, Marion Zimmer Bradley breathes new life into the classic tale of the Trojan War-reinventing larger-than-life figures as living people engaged in a desperate struggle that dooms both the victors and the vanquished, their fate seen through the eyes of Kassandra-priestess, princess, and passionate woman with the spirit of a warrior.",Marion Zimmer Bradley,1991,"",632,Fiction
0152025057,"","","","","",0,""
1551668602,"","","","","",0,""
0380811073,Worth Any Price,"What is the price of love? Nick Gentry is reputed to be the most skillful lover in all England. Known for solving delicate situations, he is hired to seek out Miss Charlotte Howard. He believes his mission will be easily accomplished -- but that was before he met the lady in question. For instead of a willful female, he discovers one in desperate circumstances, hiding from a man who would destroy her very soul. So Nick shockingly offers her a very different kind of proposition -- one he has never offered before. He asks her to be his bride. And he knows that this will be much more than a union in name only. For he senses what Charlotte does not yet know -- that her appetite for sensuality matches his own. But what Nick learns surprises him. For while London's most notorious lover might claim Charlotte's body, he quickly discovers it will take much more than passion to win her love.",Lisa Kleypas,2003-01-28,Avon,400,Fiction
0440241073,"","","","","",0,""
0446612790,"","","","","",0,""
0064407667,"","","","","",0,""
0452267404,"","","","","",0,""
0312979975,"","","","","",0,""
0345370805,"","","","","",0,""
0440156637,My Mother/my Self,"",Nancy Friday,1977,Dell Publishing Company,484,Psychology
1580082319,"","","","","",0,""
0688066631,"","","","","",0,""
0747257833,"","","","","",0,""
0380977257,"","","","","",0,""
0425162397,"","","","","",0,""
0804115400,"","","","","",0,""
0446604801,"","","","","",0,""
0553577808,"","","","","",0,""
0553560700,"","","","","",0,""
068484477X,"","","","","",0,""
1551669250,"","","","","",0,""
055314717X,"","","","","",0,""
0786915749,"","","","","",0,""
0375703063,"","","","","",0,""
052594558X,"","","","","",0,""
0767905180,"","","","","",0,""
0515131229,"","","","","",0,""
0812545508,"","","","","",0,""
1555837336,"","","","","",0,""
0156004801,"","","","","",0,""
0345443284,"","","","","",0,""
0060196246,"","","","","",0,""
0553561618,"","","","","",0,""
0345339681,"","","","","",0,""
0553279912,"","","","","",0,""
0380710218,"","","","","",0,""
0425163407,"","","","","",0,""
0451406095,"","","","","",0,""
0515119520,"","","","","",0,""
0140440224,"","","","","",0,""
0553277537,"","","","","",0,""
0375725849,"","","","","",0,""
0811821706,"","","","","",0,""
1573247022,"","","","","",0,""
0553260960,"","","","","",0,""
014018869X,"","","","","",0,""
0380808307,"","","","","",0,""
0451176723,"","","","","",0,""
0060176156,"","","","","",0,""
0515134473,"","","","","",0,""
0345339711,"","","","","",0,""
0312971125,"","","","","",0,""
0671041789,"","","","","",0,""
0671001795,"","","","","",0,""
0425124347,"","","","","",0,""
0345384466,"","","","","",0,""
0425192768,"","","","","",0,""
0886773784,"","","","","",0,""
0060084456,"","","","","",0,""
0446605980,"","","","","",0,""
0380731851,"","","","","",0,""
0446609404,"","","","","",0,""
0446360589,"","","","","",0,""
0060930004,"","","","","",0,""
0373691300,"","","","","",0,""
0805068015,"","","","","",0,""
0821767240,"","","","","",0,""
0880387483,"","","","","",0,""
0515102652,"","","","","",0,""
0141000198,"","","","","",0,""
067155302X,"","","","","",0,""
0345413350,"","","","","",0,""
0373032838,"","","","","",0,""
0380709546,"","","","","",0,""
0802131786,"","","","","",0,""
0671867091,"","","","","",0,""
0618231617,"","","","","",0,""
0440975344,"","","","","",0,""
0345383230,"","","","","",0,""
0380795833,"","","","","",0,""
0590956159,"","","","","",0,""
0425180964,"","","","","",0,""
042518045X,"","","","","",0,""
0060914653,"","","","","",0,""
0786914041,"","","","","",0,""
0451195167,"","","","","",0,""
0380800268,"","","","","",0,""
0061099341,"","","","","",0,""
044922368X,Lovers and Liars,"Photographer Pascal Lamartine and reporter Gini Hunter are sharing the explosive story of a lifetime. But beyond the scandalous web of deceit, betrayal, and desire they are about to expose, Gini and Pascal must confront their own long-ago love affair and its volatile end.",Sally Beauman,1995,Ivy Books,644,Fiction
1551666146,"","","","","",0,""
0440539811,"","","","","",0,""
0345365208,"","","","","",0,""
042513525X,"","","","","",0,""
0440223989,"","","","","",0,""
0449223612,"","","","","",0,""
002542730X,"","","","","",0,""
0316096199,Lucky,"In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit-as she struggles for understanding (\"After telling the hard facts to anyone, from lover to friend, I have changed in their eyes\"); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: \"You save yourself or you remain unsaved.\"",Alice Sebold,2002,Back Bay Books,276,Biography & Autobiography
0312243359,"","","","","",0,""
0553576607,"","","","","",0,""
0345448820,"","","","","",0,""
0688046606,"","","","","",0,""
0671025570,"","","","","",0,""
0385479565,"","","","","",0,""
0345378490,"","","","","",0,""
0671742949,"","","","","",0,""
0743237188,"","","","","",0,""
1551662841,"","","","","",0,""
0446608955,A Walk to Remember,"A high school rebel and a minister's daughter find strength in each other in this star-crossed tale of \"young but everlasting love\" (Chicago Sun-Times). There was a time when the world was sweeter....when the women in Beaufort, North Carolina, wore dresses, and the men donned hats.... Every April, when the wind smells of both the sea and lilacs, Landon Carter remembers 1958, his last year at Beaufort High. Landon had dated a girl or two, and even once sworn that he'd been in love. Certainly the last person he thought he'd fall for was Jamie, the shy, almost ethereal daughter of the town's Baptist minister....Jamie, who was destined to show him the depths of the human heart-and the joy and pain of living. The inspiration for this novel came from Nicholas Sparks's sister: her life and her courage. From the internationally bestselling author Nicholas Sparks, comes his most moving story yet....",Nicholas Sparks,2000-09-01,Grand Central Publishing,260,Fiction
0449911519,"","","","","",0,""
0312244266,"","","","","",0,""
0312978332,Name Dropping,"Pre-school teacher Nancy Stern is in a personal and professional rut. But what really puts a dent in her self-esteem is the realization that another woman named Nancy Stern has just moved into her building... a Nancy Stern who lives in the penthouse... A Nancy Stern who interviews celebrities for glossy magazines... a Nancy Stern who's chummy with Kevin Costner. Nancy's loss of her own specialness deepens as she keeps getting the other, more glamorous Nancy's mail, phone calls and party invitations by mistake. It's all too much to bear--until a man calls one night, intending to ask the other Nancy out on a blind date. What follows is a raucous and romantic involving mix-ups, mistaken identity, and murder ...","Jane Heller, Rachael F. Heller",2001-03-15,Macmillan,356,Fiction
0312171838,"","","","","",0,""
0679728899,"","","","","",0,""
0689714335,"","","","","",0,""
0440206154,"","","","","",0,""
0743471393,"","","","","",0,""
0553089196,Bad Love,"It came in a plain brown wrapper, no return address - an audiocassette recording of a horrifying, soul-lacerating scream, followed by the sound of a childlike voice delivering the enigmatic and haunting message: . \"Bad love. Bad love. Don't give me the bad love..\". For Alex Delaware, the chant, repeated over and over like a twisted nursery rhyme, is the first intimation that he is about to enter a living nightmare. Others soon follow: disquieting laughter echoing over a phone line that suddenly goes dead, a chilling trespass outside his home in the middle of the night, a sickening act of vandalism. He has becoine the target of a carefully orchestrated campaign of vague threats and intimidation rapidly building to a crescendo as harassment turns to terror, mischief to madness. Searching his memory for the phrase \"bad love\", Alex recalls a symposium he attended over a decade ago commemorating the work of Dr. Andres de Bosch, the celebrated child psychologist who ran a clinic for troubled adolescents. With the help of his friend LAPD detective Milo Sturgis, Alex discovers a seemingly random series of violent deaths - a hit-and-run, a \"suicidal\" leap from a high rise, and a brutal mutilation-murder - that may somehow be related to de Bosch. As he delves deeper into the history of the clinic, the escalating pattern of violence becomes inescapably clear. And if Alex fails to decipher the twisted logic of the stalker's mind games, he will be the next to die. Taut, penetrating, terrifying, Bad Love is vintage Kellerman.",Jonathan Kellerman,1994,Bantam Books,412,Fiction
0140048332,"","","","","",0,""
0684196395,"","","","","",0,""
0802135226,"","","","","",0,""
0440158532,"","","","","",0,""
0451526384,"","","","","",0,""
0312971346,"","","","","",0,""
0552131059,"","","","","",0,""
0440226104,"","","","","",0,""
0446610038,"","","","","",0,""
037541388X,"","","","","",0,""
0451203771,"","","","","",0,""
0380619458,"","","","","",0,""
037370786X,"","","","","",0,""
0590997327,"","","","","",0,""
0553569473,"","","","","",0,""
055356160X,"","","","","",0,""
0515132292,"","","","","",0,""
0743219570,"","","","","",0,""
0061094153,"","","","","",0,""
0425119114,"","","","","",0,""
0441005993,"","","","","",0,""
0312957890,"","","","","",0,""
0671877135,"","","","","",0,""
0425190374,"","","","","",0,""
0679740678,"","","","","",0,""
0786889047,"","","","","",0,""
0385491328,"","","","","",0,""
044652767X,"","","","","",0,""
0345340906,"","","","","",0,""
0553206621,"","","","","",0,""
0515132187,"","","","","",0,""
068484267X,"","","","","",0,""
031298328X,"","","","","",0,""
0425140040,"","","","","",0,""
0385492081,"","","","","",0,""
0767914767,The Devil Wears Prada,"#1 NEW YORK TIMES BESTSELLER • SOON TO BE A MUSICAL STARRING VANESSA WILLIAMS • The iconic novel that inspired the hit movie starring Meryl Streep and Anne Hathaway—a gloriously wicked story about the ultimate Boss from Hell and the deals we make with the devil to get to the top “The degree to which The Devil Wears Prada has penetrated pop culture needs no explanation.”—Vanity Fair Andrea Sachs, a small-town girl fresh out of college, lands the job “a million girls would die for.” Hired as the assistant to Miranda Priestly, the high-profile, fabulously successful editor of Runway magazine, Andrea finds herself in an office that shouts Prada! Armani! Versace! at every turn, a world populated by impossibly thin, heart-wrenchingly stylish women and beautiful men clad in fine-ribbed turtlenecks and tight leather pants that show off their lifelong dedication to the gym. With breathtaking ease, Miranda can turn each and every one of these hip sophisticates into a scared, whimpering child. Andrea is sorely tested each and every day—and often late into the night—with orders barked over the phone. She puts up with it all by keeping her eyes on the prize: a recommendation from Miranda that will get her a top job at any magazine of her choosing. As things escalate from the merely unacceptable to the downright outrageous, Andrea begins to realize that the job a million girls would die for may just kill her. And even if she survives, she has to decide whether or not it’s worth the price of her soul.",Lauren Weisberger,2004-04-13,Random House Trade Paperbacks,385,Fiction
051513287X,"","","","","",0,""
0066213673,"","","","","",0,""
014006690X,"","","","","",0,""
1573225843,"","","","","",0,""
0385424728,"","","","","",0,""
0446600342,"","","","","",0,""
0385491808,Crooked Little Heart,"NATIONAL BESTSELLER • From the acclaimed author of Bird by Bird comes an exuberant, richly absorbing novel about a family for whom the joys and sorrows of everyday life are magnified under the glare of the unexpected. • \"Eloquent, detailed, emotionally honest... Lamott deserves praise for telling it like it is.\" —People Rosie Ferguson, in the first bloom of young womanhood, is obsessed with tournament tennis. Her mother is a recovering alcoholic still grieving the death of her first husband; her stepfather, a struggling writer, is wrestling with his own demons. And now Rosie finds that her athletic gifts, once a source of triumph and escape, place her in peril, as a shadowy man who stalks her from the bleachers seems to be developing an obsession of his own...",Anne Lamott,1998-05-18,Anchor,337,Fiction
0385502761,"","","","","",0,""
0345340892,"","","","","",0,""
0893753564,"","","","","",0,""
0553271636,"","","","","",0,""
0312291639,"","","","","",0,""
0156006847,"","","","","",0,""
0425133540,"","","","","",0,""
1400034779,"","","","","",0,""
0451523261,"","","","","",0,""
0670894486,"","","","","",0,""
0064405036,"","","","","",0,""
045120834X,"","","","","",0,""
034531607X,"","","","","",0,""
0446394521,"","","","","",0,""
0380817691,"","","","","",0,""
0345313216,"","","","","",0,""
0440202043,"","","","","",0,""
0812534271,"","","","","",0,""
0061097314,"","","","","",0,""
0804106304,"","","","","",0,""
034541389X,"","","","","",0,""
0671882368,"","","","","",0,""
0553205315,"","","","","",0,""
0786890169,"","","","","",0,""
0373250207,"","","","","",0,""
0307302822,"","","","","",0,""
0684872153,"","","","","",0,""
0375700757,"","","","","",0,""
0515127833,"","","","","",0,""
068416325X,"","","","","",0,""
0449219461,"","","","","",0,""
0439327660,"","","","","",0,""
006100717X,"","","","","",0,""
0151006725,"","","","","",0,""
0312980159,"","","","","",0,""
0515130389,"","","","","",0,""
0385418493,"","","","","",0,""
0380764008,"","","","","",0,""
0425158616,"","","","","",0,""
0515135828,"","","","","",0,""
0446609609,"","","","","",0,""
014023313X,"","","","","",0,""
0375401601,"","","","","",0,""
0684812045,Confessions of a Late Night Talk Show Host,"The Hollywood tell-all to end all Hollywood tell-alls--the uproarious and outrageous autobiography of America's favorite neurotic talk-show host, Larry Sanders, portrayed brilliantly by Garry Shandling, one of America's most popular comedians. Photos.",Garry Shandling,1998,"",248,Biography & Autobiography
0553278193,"","","","","",0,""
0380815265,"","","","","",0,""
0312984618,"","","","","",0,""
0399140557,"","","","","",0,""
0446360716,"","","","","",0,""
0140621415,"","","","","",0,""
0345322231,"","","","","",0,""
0671004530,"","","","","",0,""
0312983867,"","","","","",0,""
0440159008,"","","","","",0,""
044990587X,"","","","","",0,""
0761107363,"","","","","",0,""
0312983824,"","","","","",0,""
1551660989,"","","","","",0,""
0836214439,"","","","","",0,""
0425154092,"","","","","",0,""
0345361792,"","","","","",0,""
0312251947,"","","","","",0,""
0316171530,"","","","","",0,""
0380699745,"","","","","",0,""
0312971303,"","","","","",0,""
0060502258,"","","","","",0,""
0425120031,"","","","","",0,""
0020446500,"","","","","",0,""
0345343581,"","","","","",0,""
0553576003,"","","","","",0,""
0373872178,"","","","","",0,""
0786883367,"","","","","",0,""
0553287532,Wish You Were Here,"Curiosity just might be the death of Mrs. Murphy--and her human companion, Mary Minor \"Harry\" Haristeen. Small towns are like families: Everyone lives very close together. . .and everyone keeps secrets. Crozet, Virginia, is a typical small town-until its secrets explode into murder. Crozet's thirty-something post-mistress, Mary Minor \"Harry\" Haristeen, has a tiger cat (Mrs. Murphy) and a Welsh Corgi (Tucker), a pending divorce, and a bad habit of reading postcards not addressed to her. When Crozet's citizens start turning up murdered, Harry remembers that each received a card with a tombstone on the front and the message \"Wish you were here\" on the back. Intent on protecting their human friend, Mrs. Murphy and Tucker begin to scent out clues. Meanwhile, Harry is conducting her own investigation, unaware her pets are one step ahead of her. If only Mrs. Murphy could alert her somehow, Harry could uncover the culprit before the murder occurs--and before Harry finds herself on the killer's mailing list.",Rita Mae Brown,1991-10-01,Bantam,322,Fiction
0060196122,"","","","","",0,""
189939835X,"","","","","",0,""
0525943749,"","","","","",0,""
0399146008,"","","","","",0,""
0743456866,"","","","","",0,""
0380721457,"","","","","",0,""
0312195516,"","","","","",0,""
044015538X,"","","","","",0,""
0886774632,"","","","","",0,""
0345370775,"","","","","",0,""
0449907481,"","","","","",0,""
0842329218,"","","","","",0,""
014027166X,"","","","","",0,""
0440941407,"","","","","",0,""
0312924585,"","","","","",0,""
0553580035,"","","","","",0,""
0380717018,"","","","","",0,""
1558743669,"","","","","",0,""
0375760628,"","","","","",0,""
0671021001,"","","","","",0,""
0671027387,"","","","","",0,""
0446672211,"","","","","",0,""
0316666343,"","","","","",0,""
044020271X,"","","","","",0,""
0451202341,"","","","","",0,""
0684874350,"","","","","",0,""
1590520858,"","","","","",0,""
0446600547,"","","","","",0,""
0345387651,"","","","","",0,""
0553280368,"","","","","",0,""
0373484615,"","","","","",0,""
078601489X,"","","","","",0,""
0425136191,"","","","","",0,""
0553572857,Shadow Moon,"The first novel in the original saga based on the movie Willow From George Lucas, creator of Star Wars and Indiana Jones, and Chris Claremont, author of the bestselling X-Men adventures, comes a dazzling tale of adventure and magic. . . . Thirteen years have passed since the epic battle of Nockmaar freed the land from a tyrant's grasp. But in the time since, the countryside has been wracked by war and chaos. According to the prophecy, there is but one hope of deliverance: the Princess Elora Danan. Raised friendless and alone, she has grown into a royal spoiled brat. The fate of the Great Realms rests in her hands, and she couldn't care less. It will take a stranger named Thorn Drumheller to fight the opposing forces of unimaginable malevolence--but first he must strike a devil's bargain and resurrect a powerful warrior from her soulless sleep, bringing her into a world of blood and horror where shadows have declared war on the light.","George Lucas, Chris Claremont",1996,Spectra,468,Fiction
0679402195,"","","","","",0,""
0679312420,"","","","","",0,""
067172942X,Garden of Shadows,"Olivia dreamed of a sun-filled love, a happy life. Then she entered Foxworth Hall... V.C. Andrews' thrilling new novel spins a tale of dreadful secrets and dark, forbidden passions -- of the time before Flowers in the Attic began. Long before terror flowered in the attic, thin, spinsterish Olivia came to Virginia as Malcolm Foxworth's bride. At last, with her tall handsome husband, she would find the joy she had waited for, longed for. But in the gloomy mansion filled with hidden rooms and festering desires, a stain of jealous obsession begins to spread...an evil that will threaten her children, two lovely boys and one very special, beautiful girl. For within one innocent child, a shocking secret lives...a secret that will taint the proud Foxworth name, and haunt all their lives forever!",V.C. Andrews,1990-11-15,Pocket Books,384,Fiction
0060177888,"","","","","",0,""
0449212882,"","","","","",0,""
0375500510,"","","","","",0,""
0842321950,"","","","","",0,""
0440236673,"","","","","",0,""
0061097497,"","","","","",0,""
1558747109,"","","","","",0,""
0066210232,"","","","","",0,""
0515134864,"","","","","",0,""
0060976497,"","","","","",0,""
1550548913,"","","","","",0,""
0445405627,"","","","","",0,""
0345438329,"","","","","",0,""
0552998877,"","","","","",0,""
1573221775,"","","","","",0,""
0380814811,"","","","","",0,""
0553244388,"","","","","",0,""
0373790856,"","","","","",0,""
044022165X,"","","","","",0,""
0671038184,"","","","","",0,""
0099502909,"","","","","",0,""
0070212570,"","","","","",0,""
0842329110,"","","","","",0,""
0312983484,"","","","","",0,""
0375406182,"","","","","",0,""
0821771450,"","","","","",0,""
0515126772,"","","","","",0,""
0060958014,"","","","","",0,""
0553573861,"","","","","",0,""
0060098538,"","","","","",0,""
0553584111,"","","","","",0,""
0842332251,"","","","","",0,""
0786866314,"","","","","",0,""
0425168298,"","","","","",0,""
0553563734,"","","","","",0,""
0670852341,"","","","","",0,""
0399142991,"","","","","",0,""
0899193625,"","","","","",0,""
055305340X,"","","","","",0,""
0688046126,"","","","","",0,""
3406501752,"","","","","",0,""
0802130119,"","","","","",0,""
0373835124,"","","","","",0,""
0446603104,"","","","","",0,""
006100345X,"","","","","",0,""
3257228007,"","","","","",0,""
0345417623,"","","","","",0,""
0373711026,"","","","","",0,""
0786881852,"","","","","",0,""
0451192311,"","","","","",0,""
0446611212,"","","","","",0,""
051512088X,"","","","","",0,""
0440214041,"","","","","",0,""
0316776963,Me Talk Pretty One Day,"A recent transplant to Paris, humorist David Sedaris, bestselling author of \"Naked\", presents a collection of his strongest work yet, including the title story about his hilarious attempt to learn French. A number one national bestseller now in paperback.",David Sedaris,2001-06-05,Back Bay Books,292,Humor
0446605239,"","","","","",0,""
0060925752,"","","","","",0,""
0452282152,"","","","","",0,""
0446677922,"","","","","",0,""
0345368436,"","","","","",0,""
1575669072,"","","","","",0,""
0771099886,"","","","","",0,""
015640057X,"","","","","",0,""
0375707972,"","","","","",0,""
0671795678,"","","","","",0,""
0812541669,"","","","","",0,""
0140348107,"","","","","",0,""
0689714920,"","","","","",0,""
0553581716,"","","","","",0,""
0451199960,"","","","","",0,""
0449227421,"","","","","",0,""
0345351525,"","","","","",0,""
0312310439,The Marrying Game,"\"Little Women\" meets \"I Capture the Castle\" in this gloriously modern novel about aristocratic sisters who set out to marry money in order to save their family home.",Kate Saunders,2003-07-21,Macmillan,385,Fiction
0425116840,"","","","","",0,""
0385265700,"","","","","",0,""
0374281947,"","","","","",0,""
0345422473,"","","","","",0,""
0449005615,"","","","","",0,""
042513699X,"","","","","",0,""
0380708892,"","","","","",0,""
0553580221,"","","","","",0,""
0446603082,"","","","","",0,""
0345272595,"","","","","",0,""
0671701258,"","","","","",0,""
0060934417,"","","","","",0,""
0060928336,"","","","","",0,""
0590254766,"","","","","",0,""
0345334531,"","","","","",0,""
0399141855,"","","","","",0,""
0380002450,"","","","","",0,""
0515132020,"","","","","",0,""
0394557433,"","","","","",0,""
0553801589,"","","","","",0,""
0060987103,"","","","","",0,""
1853260363,Don Quixote,"Cervantes' tale of the deranged gentleman who turns knight-errant have found its way into films, cartoons and even computer games. Intended as a parody of the most popular escapist fiction, the 'books of chivalry', this precursor of the modern novel broadened and deepened into a sophisticated, comic account of the contradictions of human nature.",Miguel de Cervantes Saavedra,1993,Wordsworth Editions,806,Fiction
0590434985,"","","","","",0,""
0449211991,"","","","","",0,""
0486284735,"","","","","",0,""
055357759X,"","","","","",0,""
0446353337,"","","","","",0,""
037322561X,"","","","","",0,""
1551664208,"","","","","",0,""
0671737554,"","","","","",0,""
0446606324,"","","","","",0,""
0451166892,"","","","","",0,""
0446344109,"","","","","",0,""
0380800799,"","","","","",0,""
0553289519,"","","","","",0,""
0553371835,"","","","","",0,""
0449910237,"","","","","",0,""
044022103X,"","","","","",0,""
0425172546,"","","","","",0,""
0156628708,"","","","","",0,""
0449003183,"","","","","",0,""
0380732033,"","","","","",0,""
0316952664,"","","","","",0,""
0156012197,"","","","","",0,""
0553284789,"","","","","",0,""
0345375351,"","","","","",0,""
055321246X,"","","","","",0,""
0553564528,"","","","","",0,""
0440211476,"","","","","",0,""
0671523074,"","","","","",0,""
0446612545,"","","","","",0,""
0671525425,"","","","","",0,""
0679449434,"","","","","",0,""
015602943X,"","","","","",0,""
0812580346,"","","","","",0,""
0874778883,"","","","","",0,""
0515122416,"","","","","",0,""
082176828X,"","","","","",0,""
0971880107,"","","","","",0,""
0451176464,"","","","","",0,""
0373825013,"","","","","",0,""
0156421178,"","","","","",0,""
038079487X,"","","","","",0,""
0451177096,"","","","","",0,""
030711886X,"","","","","",0,""
0671726889,"","","","","",0,""
0439064872,"","","","","",0,""
0679745203,"","","","","",0,""
0380704420,"","","","","",0,""
0671042858,"","","","","",0,""
0312953453,"","","","","",0,""
0452284481,"","","","","",0,""
0446606189,"","","","","",0,""
0312185863,"","","","","",0,""
0804114986,"","","","","",0,""
0385484518,"","","","","",0,""
0440211263,"","","","","",0,""
042517400X,"","","","","",0,""
0553260111,"","","","","",0,""
0385335881,"","","","","",0,""
1551664305,"","","","","",0,""
0743457935,"","","","","",0,""
0440216850,"","","","","",0,""
0345420438,"","","","","",0,""
0553294903,"","","","","",0,""
0440211727,"","","","","",0,""
0553578731,"","","","","",0,""
0553580337,"","","","","",0,""
0440213525,"","","","","",0,""
0385494785,"","","","","",0,""
0451184963,"","","","","",0,""
0385722206,"","","","","",0,""
0373272081,"","","","","",0,""
0553268880,"","","","","",0,""
0061094145,"","","","","",0,""
0394800206,"","","","","",0,""
0451180429,"","","","","",0,""
0441003389,"","","","","",0,""
0964631601,"","","","","",0,""
0812589041,"","","","","",0,""
055314300X,"","","","","",0,""
0553250515,"","","","","",0,""
0553563327,"","","","","",0,""
0446364797,"","","","","",0,""
1400042070,"","","","","",0,""
0060086661,"","","","","",0,""
0553239813,"","","","","",0,""
0060094850,"","","","","",0,""
0553580191,"","","","","",0,""
0316769487,"","","","","",0,""
0609608339,"","","","","",0,""
0440235596,"","","","","",0,""
014013168X,"","","","","",0,""
0060938455,"","","","","",0,""
0880015829,"","","","","",0,""
0786886021,"","","","","",0,""
0316898163,"","","","","",0,""
0451456726,"","","","","",0,""
0140293442,"","","","","",0,""
0821773682,"","","","","",0,""
0375401156,"","","","","",0,""
0842321934,"","","","","",0,""
0671739743,"","","","","",0,""
0679833692,"","","","","",0,""
0340718153,"","","","","",0,""
1551666480,"","","","","",0,""
0345418824,"","","","","",0,""
0060987529,"","","","","",0,""
0345345738,"","","","","",0,""
0671661590,"","","","","",0,""
0439139600,"","","","","",0,""
0671004573,"","","","","",0,""
0380718332,"","","","","",0,""
1559029838,"","","","","",0,""
0451174968,"","","","","",0,""
0060915544,"","","","","",0,""
039480029X,"","","","","",0,""
0440223016,"","","","","",0,""
0140384510,"","","","","",0,""
080411109X,"","","","","",0,""
0553801279,A Traitor to Memory,"When Eugenie Davies is killed by a driver on a quiet London street, her death is clearly no accident. Someone struck her with a car and then deliberately ran over her body before driving off, leaving nothing behind but questions. What brought Eugenie Davies to London on a rainy autumn night? Why was she carrying the name of the man who found her body? Who among the many acquaintances in her complicated and tragic life could have wanted her dead? And could her murder have some connection to a twenty-eight-year-old musical wunderkind, a virtuoso violinist who several months earlier suddenly and inexplicably lost the ability to play a single note? For Detective Inspector Thomas Lynley, whose own domestic life is about to change radically, these questions are only the first in an investigation that leads him to walk a fine line between personal loyalty and professional honor. Assigned to the case by his superior, Superintendent Malcolm Webberly, Lynley learns that Webberly's first murder investigation as a DI over twenty years ago involved Eugenie Davies and a sensational criminal trial. Yet what is truly damaging is what Webberly already knows and no doubt wants Lynley to keep concealed. Now the pressure is on Lynley to find Eugenie Davies' killer. For not only is he putting his own career into jeopardy, but he is also attempting to safeguard the careers of his longtime partners Barbara Havers and Winston Nkata. Together, they must untangle the dark secrets and darker passions of a family whose history conceals the truth behind a horrific crime. From the Hardcover edition.",Elizabeth George,2001,Bantam,744,Fiction
0099288850,"","","","","",0,""
067165604X,"","","","","",0,""
044023722X,"","","","","",0,""
0553568183,"","","","","",0,""
0449134369,"","","","","",0,""
082177512X,"","","","","",0,""
0385605145,"","","","","",0,""
0345342968,"","","","","",0,""
3827004985,"","","","","",0,""
0440235162,"","","","","",0,""
0373484895,"","","","","",0,""
0743206045,"","","","","",0,""
0786868716,"","","","","",0,""
0425128458,"","","","","",0,""
0316601950,"","","","","",0,""
0679429220,"","","","","",0,""
0373272839,Letters to Kelly,"Falsely imprisoned on trumped up charged in Central America, Jax Winchester's memory of Kelly O'Brien is the only thing that keeps him going. Released after two years, Jax is determined to claim her as his own. Original.",Suzanne Brockmann,2003,Silhouette,0,Ex-convicts
0812504690,"","","","","",0,""
0671786458,"","","","","",0,""
0671887947,"","","","","",0,""
0609809547,"","","","","",0,""
1844261085,"","","","","",0,""
0394881788,"","","","","",0,""
