isbn,title,authors,description,subjects,text,wiki_description
0340600179,Storm before sunrise.,June Wyndham Davies,,"Physicians, Fiction, Albany (n.y.), fiction, Man-woman relationships, fiction, Physicians, fiction, Fiction, general","Storm before sunrise. June Wyndham Davies Physicians, Fiction, Albany (n.y.), fiction, Man-woman relationships, fiction, Physicians, fiction, Fiction, general",
0373650620,Dad by choice,Marie Ferrarella,,"Illegitimate children, Women's hospitals, Fiction, Fiction, romance, contemporary, Texas, fiction, Fiction, romance, general","Dad by choice Marie Ferrarella Illegitimate children, Women's hospitals, Fiction, Fiction, romance, contemporary, Texas, fiction, Fiction, romance, general",
1557484473,Love's Silken Melody (Heartsong Presents #57),Norman Jean Lutz,,"Singers, Fiction, Fiction, general","Love's Silken Melody (Heartsong Presents #57) Norman Jean Lutz Singers, Fiction, Fiction, general",
0396071910,Curtain,Agatha Christie,,"Fiction, Hercule Poirot (Fictitious character), Private investigators, Detective and mystery stories, Murderers, Country homes, English Detective and mystery stories, English fiction, Mystery, Large type books, Russian language edition, Private investigators in fiction, Fiction, mystery & detective, traditional, Poirot, hercule (fictitious character), fiction, England, fiction, Hastings, arthur, captain (fictitious character), fiction, Detectives, Détectives, Romans, nouvelles, Hercule Poirot (Fictional character), Mystery fiction, English literature, Fiction, mystery & detective, general, Private investigators, fiction","Curtain Agatha Christie Fiction, Hercule Poirot (Fictitious character), Private investigators, Detective and mystery stories, Murderers, Country homes, English Detective and mystery stories, English fiction, Mystery, Large type books, Russian language edition, Private investigators in fiction, Fiction, mystery & detective, traditional, Poirot, hercule (fictitious character), fiction, England, fiction, Hastings, arthur, captain (fictitious character), fiction, Detectives, Détectives, Romans, nouvelles, Hercule Poirot (Fictional character), Mystery fiction, English literature, Fiction, mystery & detective, general, Private investigators, fiction","A curtain is a piece of cloth or other material intended to block or obscure light, air drafts, or (in the case of a shower curtain) water.
Curtains are often hung on the inside of a building's windows to block the passage of light. For instance, at night to aid sleeping, or to stop light from escaping outside the building (stopping people outside from being able to see inside, often for privacy reasons)."
0517701014,The tetherballs of Bougainville,Mark Leyner,,"Fiction, Teenage boys, Fathers and sons, Capital punishment, Peres et fils, Romans, nouvelles, Adolescents, Peine de mort, New jersey, fiction, Fiction, general, Popular culture, History","The tetherballs of Bougainville Mark Leyner Fiction, Teenage boys, Fathers and sons, Capital punishment, Peres et fils, Romans, nouvelles, Adolescents, Peine de mort, New jersey, fiction, Fiction, general, Popular culture, History",
1563632519,Physicians' Desk Reference 1998 (52nd ed),Medical Economics,,,Physicians' Desk Reference 1998 (52nd ed) Medical Economics,
0394588746,The country mothers cookbook,Jane Watson Hopping,,"American Cookery, Cookery, American, American Cooking, Mothers","The country mothers cookbook Jane Watson Hopping American Cookery, Cookery, American, American Cooking, Mothers",
0590409409,Teach Us Amelia Bedelia,"Peggy Parish, Lynn Sweat",,"juvenile fiction, fiction, teaching, school, children's stories, humour, humor, Children's fiction, Girls, fiction, Humorous stories, Teachers, Schools, Reader, Beginner, School & Education, Humorous fiction, School stories, Teachers, fiction, Amelia-bedelia (fictitious character), fiction, Household employees, fiction, Schools, fiction","Teach Us Amelia Bedelia Peggy Parish, Lynn Sweat juvenile fiction, fiction, teaching, school, children's stories, humour, humor, Children's fiction, Girls, fiction, Humorous stories, Teachers, Schools, Reader, Beginner, School & Education, Humorous fiction, School stories, Teachers, fiction, Amelia-bedelia (fictitious character), fiction, Household employees, fiction, Schools, fiction",
0684811782,Nostradamus,"Peter Lorie, Liz Greene, Peter Loire",,"Forecasting, Forecasts, Twenty-first century, Prophecies (Occultism), Predictive astrology, Twentieth century, Propheties, New Age / Parapsychology, Divination - General, Body, Mind & Spirit, Prophecy, New Age, Nostradamus,, Sale Books, 1503-1566, Clairvoyance & precognition, Nostradamus, 1503-1566, Prophecies (occultism)","Nostradamus Peter Lorie, Liz Greene, Peter Loire Forecasting, Forecasts, Twenty-first century, Prophecies (Occultism), Predictive astrology, Twentieth century, Propheties, New Age / Parapsychology, Divination - General, Body, Mind & Spirit, Prophecy, New Age, Nostradamus,, Sale Books, 1503-1566, Clairvoyance & precognition, Nostradamus, 1503-1566, Prophecies (occultism)","Michel de Nostredame (December 1503 – July 1566), usually Latinised as Nostradamus, was a French astrologer, apothecary, physician, and reputed seer, who is best known for his book Les Prophéties (published in 1555), a collection of 942 poetic quatrains allegedly predicting future events.
Nostradamus's father's family had originally been Jewish, but had converted to Catholic Christianity a generation before Nostradamus was born. He studied at the University of Avignon, but was forced to leave after just over a year when the university closed due to an outbreak of the plague."
0816719683,Trees and leaves,"Althea., Althea",,"Juvenile literature, Trees, Leaves","Trees and leaves Althea., Althea Juvenile literature, Trees, Leaves",
0394404688,Crowned heads,Thomas Tryon,,"Motion picture actors and actresses, Fiction","Crowned heads Thomas Tryon Motion picture actors and actresses, Fiction",
0517551284,Shield of three lions,Pamela Kaufman,,"British, Crusades, Fiction, History, Disguise, False personation, Young women, Middle Ages, Crusades (Third : 1189-1192) fast (OCoLC)fst00884419, Fiction, general","Shield of three lions Pamela Kaufman British, Crusades, Fiction, History, Disguise, False personation, Young women, Middle Ages, Crusades (Third : 1189-1192) fast (OCoLC)fst00884419, Fiction, general",
1555971148,Multi-cultural literacy,"Rick Simonson, Scott Walker",,"Race relations, Multicultural education, Minorities, Popular culture, united states, United states, social conditions, New York Times reviewed, Cultural pluralism, American literature, Minority authors, Educational anthropology, Literacy","Multi-cultural literacy Rick Simonson, Scott Walker Race relations, Multicultural education, Minorities, Popular culture, united states, United states, social conditions, New York Times reviewed, Cultural pluralism, American literature, Minority authors, Educational anthropology, Literacy",
0140864679,The Bronte Collection,Charlotte Brontë,,,The Bronte Collection Charlotte Brontë,
051508753X,Listen to Love,Barbara Cartland,,"Fiction, general","Listen to Love Barbara Cartland Fiction, general","Listen to Love (Korean: 이번 주, 아내가 바람을 핍니다) is a 2016 South Korean television series starring Lee Sun-kyun and Song Ji-hyo about husbands who try to protect their marriage with the help of anonymous netizens, based on the 2007 Japanese TV series of the same title. It aired on JTBC from October 28 to December 3, 2016, every Friday and Saturday at 20:30 (KST) for 12 episodes."
0679600728,"Absalom, Absalom!",William Faulkner,,"Fiction, Plantation life, Sutpen family (Fictitious characters), Facsimiles, Textual Criticism, American Manuscripts, Sutpen family (Fictitious character), American Historical fiction, American fiction, Manuscripts, Yaknapatawpha County (Imaginary place), Long Now Manual for Civilization, Sutpen family (Fictitious characters) -- Fiction, Plantation life -- Fiction, Mississippi -- Fiction, American fiction (fictional works by one author), Mississippi, fiction, Yoknapatawpha county (imaginary place), fiction, Fiction, historical, Fiction, family life, Sutpen family (fictitious characters), fiction, Large type books, Fiction, historical, general","Absalom, Absalom! William Faulkner Fiction, Plantation life, Sutpen family (Fictitious characters), Facsimiles, Textual Criticism, American Manuscripts, Sutpen family (Fictitious character), American Historical fiction, American fiction, Manuscripts, Yaknapatawpha County (Imaginary place), Long Now Manual for Civilization, Sutpen family (Fictitious characters) -- Fiction, Plantation life -- Fiction, Mississippi -- Fiction, American fiction (fictional works by one author), Mississippi, fiction, Yoknapatawpha county (imaginary place), fiction, Fiction, historical, Fiction, family life, Sutpen family (fictitious characters), fiction, Large type books, Fiction, historical, general","Absalom, Absalom! is a Southern Gothic novel by the American author William Faulkner, first published in 1936. Taking place before, during, and after the American Civil War, it focuses on the rise and fall of Thomas Sutpen, a plantation owner in the American South, as told by several unreliable narrators many years later."
0814206441,Miscellaneous prose and verse,Nathaniel Hawthorne,,"American literature, Hawthorne, nathaniel, 1804-1864","Miscellaneous prose and verse Nathaniel Hawthorne American literature, Hawthorne, nathaniel, 1804-1864",
0822203502,Effect of Gamma Rays on Man-in-the-Moon Marigolds,Paul Zindel,,,Effect of Gamma Rays on Man-in-the-Moon Marigolds Paul Zindel,
082250071X,The Brontë family,Karen Smith Kenyon,,"Juvenile literature, English Authors, Family relationships, Biography, Bronte family, juvenile literature, Bronte, patrick branwell, 1817-1848, Bronte, charlotte, 1816-1855, Bronte, emily, 1818-1848, Bronte, anne, 1820-1849, Authors, english","The Brontë family Karen Smith Kenyon Juvenile literature, English Authors, Family relationships, Biography, Bronte family, juvenile literature, Bronte, patrick branwell, 1817-1848, Bronte, charlotte, 1816-1855, Bronte, emily, 1818-1848, Bronte, anne, 1820-1849, Authors, english",
0736901876,A Texas sky,Lori Wick,,"Kidnapping, Fiction, Texas Rangers, Large type books, Texas rangers, fiction, Missing persons, fiction, Fiction, christian, romance, general, Fiction, christian, western","A Texas sky Lori Wick Kidnapping, Fiction, Texas Rangers, Large type books, Texas rangers, fiction, Missing persons, fiction, Fiction, christian, romance, general, Fiction, christian, western",
0804118736,First Force Recon Company,"Peters, Bill Dr.",,"United States. Marine Corps. Force Reconnaissance Company, 1st, Vietnamese Conflict, 1961-1975, American Reconnaissance operations, Reconnaissance operations, American, United States, Personal narratives, American, American Personal narratives, Regimental histories, History, United states, marine corps, history, Vietnam war, 1961-1975, regimental histories, Vietnam war, 1961-1975, personal narratives, Vietnam War, 1961-1975","First Force Recon Company Peters, Bill Dr. United States. Marine Corps. Force Reconnaissance Company, 1st, Vietnamese Conflict, 1961-1975, American Reconnaissance operations, Reconnaissance operations, American, United States, Personal narratives, American, American Personal narratives, Regimental histories, History, United states, marine corps, history, Vietnam war, 1961-1975, regimental histories, Vietnam war, 1961-1975, personal narratives, Vietnam War, 1961-1975",
1575664216,To Have And To Hold,Edward Abramson,,"Health and hygiene, Marriage, Weight loss, Women","To Have And To Hold Edward Abramson Health and hygiene, Marriage, Weight loss, Women",To Have and to Hold or To Have & to Hold may refer to:
0099435004,Under the Freeze,George Bartram,,,Under the Freeze George Bartram,
0151010323,Don't Look Back (Inspector Sejer Mysteries),Karin Fossum,,"Fiction, Murder investigation, Fiction, mystery & detective, general, Konrad Sejer (Fictitious character), Village communities, Homicide investigation, Literature, Translations into English","Don't Look Back (Inspector Sejer Mysteries) Karin Fossum Fiction, Murder investigation, Fiction, mystery & detective, general, Konrad Sejer (Fictitious character), Village communities, Homicide investigation, Literature, Translations into English",
0195049067,,,,,,Nan or NAN may refer to:
0307231496,Grover's book of cute little words,Michaela Muntean,,"Juvenile literature, Puppets, Vocabulary, Vocabulary, juvenile literature, Puppets, juvenile literature","Grover's book of cute little words Michaela Muntean Juvenile literature, Puppets, Vocabulary, Vocabulary, juvenile literature, Puppets, juvenile literature",
030758013X,Assorted Small Tray Puzzles,Golden,,,Assorted Small Tray Puzzles Golden,
0380485613,A chance child,Jill Paton Walsh,,"Juvenile fiction, Fiction, Child labor, History, Space and time, Children's fiction, Children, fiction, Space and time, fiction, Great britain, history, fiction","A chance child Jill Paton Walsh Juvenile fiction, Fiction, Child labor, History, Space and time, Children's fiction, Children, fiction, Space and time, fiction, Great britain, history, fiction",
0380722852,Eye of the Beholder,Daniel Hayes,,"Children's fiction, Artists, fiction, Wit and humor","Eye of the Beholder Daniel Hayes Children's fiction, Artists, fiction, Wit and humor","Eye of the beholder is a phrase meaning something is a matter of personal opinion. It is shortened from the aphorism ""beauty is in the eye of the beholder"", which originally appeared in the 1876 novel Molly Bawn."
0394826868,"Busy day, busy people.",Tibor Gergely,,"Occupations, Fiction, Juvenile fiction","Busy day, busy people. Tibor Gergely Occupations, Fiction, Juvenile fiction",
0399215565,Zug the Bug,"Hawkins, Colin.",,"Children's fiction, Toy and movable books, Fishing, fiction, Stories in rhyme","Zug the Bug Hawkins, Colin. Children's fiction, Toy and movable books, Fishing, fiction, Stories in rhyme",
0440484065,Sunny-side up,Patricia Reilly Giff,,"Amistad, Escuelas, Ficción juvenil, Fiction, Friendship, Household Moving, Moving, Household, Mudanza de domicilio, Schools, Summer, Verano, Juvenile fiction, Children's fiction, Schools, fiction, Students, fiction","Sunny-side up Patricia Reilly Giff Amistad, Escuelas, Ficción juvenil, Fiction, Friendship, Household Moving, Moving, Household, Mudanza de domicilio, Schools, Summer, Verano, Juvenile fiction, Children's fiction, Schools, fiction, Students, fiction",
0440845319,Guess Who's Just Moved in Next Door,Colin McNaughton,,,Guess Who's Just Moved in Next Door Colin McNaughton,
0590339508,Kristy's Great Idea (The Baby-Sitters Club #1),Ann M. Martin,,"Babysitters, Clubs, Fiction, Juvenile fiction, JUVENILE FICTION / Social Themes / Friendship, Stepfamilies, Babysitters Club (Imaginary organization), Girls, JUVENILE FICTION / Social Themes / Adolescence, Friendship, Baby sitters, Large type books, Children's fiction, Babysitters, fiction, Clubs, fiction, Adventure and adventurers, fiction, Cartoons and comics, Comic books, strips, Girls, fiction","Kristy's Great Idea (The Baby-Sitters Club #1) Ann M. Martin Babysitters, Clubs, Fiction, Juvenile fiction, JUVENILE FICTION / Social Themes / Friendship, Stepfamilies, Babysitters Club (Imaginary organization), Girls, JUVENILE FICTION / Social Themes / Adolescence, Friendship, Baby sitters, Large type books, Children's fiction, Babysitters, fiction, Clubs, fiction, Adventure and adventurers, fiction, Cartoons and comics, Comic books, strips, Girls, fiction",
0590426427,Old Bones the Wonder Horse,Mildred Mastin Pace,,"Race horses, Juvenile fiction","Old Bones the Wonder Horse Mildred Mastin Pace Race horses, Juvenile fiction",
0590438891,Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault",,"Stories in rhyme, Alphabet, Fiction, Alphabet rhymes, Alphabet books, Juvenile literature, English language, Children's fiction, Juvenile fiction, Children's Books/Baby-Preschool, Concepts, board books, English language, alphabet, juvenile literature, Alphabet books (Moncure, Jane Belk), Easy books, Children's Books/Ages 4-8 Fiction, Children: Kindergarten, Concepts - Alphabet, Juvenile Nonfiction / Concepts / Alphabet, Counting, Children's poetry, Counting books, Trees, fiction","Chicka Chicka Boom Boom Bill Martin Jr., John Archambault Stories in rhyme, Alphabet, Fiction, Alphabet rhymes, Alphabet books, Juvenile literature, English language, Children's fiction, Juvenile fiction, Children's Books/Baby-Preschool, Concepts, board books, English language, alphabet, juvenile literature, Alphabet books (Moncure, Jane Belk), Easy books, Children's Books/Ages 4-8 Fiction, Children: Kindergarten, Concepts - Alphabet, Juvenile Nonfiction / Concepts / Alphabet, Counting, Children's poetry, Counting books, Trees, fiction","Chicka Chicka Boom Boom is an American children's picture book written by Bill Martin Jr. and John Archambault, illustrated by Lois Ehlert, and published by Simon & Schuster in 1989. The book teaches the alphabet through rhyming couplets, and charted The New York Times Best Seller list for children's books in 2000."
0785305548,,,,,,Nan or NAN may refer to:
0816724873,Mmmm-- cookies!,"Nicki Weiss, Monica Weiss",,"Cookies, Frogs, Family life, Fiction, Subtraction, Preschool Mathematics Skills, Children: Grades 2-3","Mmmm-- cookies! Nicki Weiss, Monica Weiss Cookies, Frogs, Family life, Fiction, Subtraction, Preschool Mathematics Skills, Children: Grades 2-3",
0816729298,Roget's Thesaurus Dictionary Format,Anonymous,,"English language, Synonyms and antonyms","Roget's Thesaurus Dictionary Format Anonymous English language, Synonyms and antonyms",
0837208343,Monster at School (834),Ellen Blance,,,Monster at School (834) Ellen Blance,
0843141042,The Giraffe who went to school,Irma Wilde,,"Giraffes, Picture books, Fiction, Children's fiction, Giraffes, fiction","The Giraffe who went to school Irma Wilde Giraffes, Picture books, Fiction, Children's fiction, Giraffes, fiction",
1564023680,Eat Your Dinner! (George and Ba),Virginia Miller,,"Children's fiction, Food, fiction","Eat Your Dinner! (George and Ba) Virginia Miller Children's fiction, Food, fiction",
0373703341,Working It Out,Patricia Rosemoor,,,Working It Out Patricia Rosemoor,"Working It Out is an American sitcom television series starring Jane Curtin and Stephen Collins that aired on NBC from August 22 to December 12, 1990. The series was created and executive produced by Bill Persky."
0312976755,The Black Book,Ian Rankin,,"Fiction, Inspector Rebus (Fictitious character), Police, Rebus, inspector (fictitious character), fiction, Edinburgh (scotland), fiction, Fiction, mystery & detective, police procedural, English Detective and mystery stories","The Black Book Ian Rankin Fiction, Inspector Rebus (Fictitious character), Police, Rebus, inspector (fictitious character), fiction, Edinburgh (scotland), fiction, Fiction, mystery & detective, police procedural, English Detective and mystery stories","Black Book, Black book or Blackbook may refer to:"
0441343724,The House at Satan's Elbow,John Dickson Carr,,"Fiction, Gideon Fell (Fictitious character), Private investigators, Fiction, mystery & detective, general, Fell, gideon (fictitious character), fiction, England, fiction","The House at Satan's Elbow John Dickson Carr Fiction, Gideon Fell (Fictitious character), Private investigators, Fiction, mystery & detective, general, Fell, gideon (fictitious character), fiction, England, fiction","The House at Satan's Elbow, first published in 1965, is a mystery novel by John Dickson Carr. Featuring his series detective Gideon Fell, this novel is a locked room mystery. It was dedicated to his fellow mystery writer Clayton Rawson ""because of our mutual interest in tricks and impossibilities""."
067003133X,The Bounty,"Alexander, Caroline",,"Description and travel, Open Library Staff Picks, Meuterei, Bounty (Schiff), Bounty (Ship), Bounty Mutiny, 1789, Travel, Mutiny","The Bounty Alexander, Caroline Description and travel, Open Library Staff Picks, Meuterei, Bounty (Schiff), Bounty (Ship), Bounty Mutiny, 1789, Travel, Mutiny",Bounty or bounties commonly refers to:
0679425136,The Night Manager,John le Carré,,"Spies, Fiction, English Spy stories, Spies in fiction, Spy stories, Thrillers, Intelligence service, Illegal arms transfers, Great Britain, Large type books, Fiction, thrillers, espionage, Fiction, mystery & detective, general, Fiction, thrillers, general, England, fiction, London (england), fiction, Fiction, suspense, Switzerland, fiction, Murder, Fiction, espionage, Fiction, thrillers, Arms transfers, Drug traffic, Armes, Romans, nouvelles, Vente, Trafic, Service des renseignements, Drogues, Fiction, general","The Night Manager John le Carré Spies, Fiction, English Spy stories, Spies in fiction, Spy stories, Thrillers, Intelligence service, Illegal arms transfers, Great Britain, Large type books, Fiction, thrillers, espionage, Fiction, mystery & detective, general, Fiction, thrillers, general, England, fiction, London (england), fiction, Fiction, suspense, Switzerland, fiction, Murder, Fiction, espionage, Fiction, thrillers, Arms transfers, Drug traffic, Armes, Romans, nouvelles, Vente, Trafic, Service des renseignements, Drogues, Fiction, general","The Night Manager is an espionage novel by British writer John le Carré, published in 1993. It was his first post-Cold War novel, detailing an undercover operation to bring down a major international arms dealer."
0713469641,The architecture of Europe,Doreen Yarwood,,"Architecture, History, Architecture, europe, Architecture, medieval, Architecture, modern, Architecture, modern, 20th century, Architecture, ancient, Classical Architecture, Byzantine Architecture, Medieval Architecture, Ancient Architecture, Greek Architecture, Roman Architecture, Ancient Cities and towns","The architecture of Europe Doreen Yarwood Architecture, History, Architecture, europe, Architecture, medieval, Architecture, modern, Architecture, modern, 20th century, Architecture, ancient, Classical Architecture, Byzantine Architecture, Medieval Architecture, Ancient Architecture, Greek Architecture, Roman Architecture, Ancient Cities and towns",
0947533915,Sherlock Holmes and the Houdini Birthright,Val Andrews,,"Sherlock Holmes, Private investigators, Fiction, Fiction, mystery & detective, traditional, Holmes, sherlock (fictitious character), fiction, England, fiction","Sherlock Holmes and the Houdini Birthright Val Andrews Sherlock Holmes, Private investigators, Fiction, Fiction, mystery & detective, traditional, Holmes, sherlock (fictitious character), fiction, England, fiction",
B000023VWQ,,,,,,Nan or NAN may refer to:
0192829548,The Communist manifesto,"Karl Marx, Friedrich Engels",,"Communism, Sources, Capitalism, Socialism, Social conflict, Marxism, History, Long Now Manual for Civilization, Social justice, Prolétariat, Nonfiction, Politics, Classic Literature, Social contract, Political science, Economics, Capital, Philosophy and ethics, Communisme, Socialisme, Communism., Marxisme, Histoire, Mouvement ouvrier, Marx, karl, 1818-1883, Communism, germany, France, history, february revolution, 1848, Politics and Social Sciences, Ideologies and Doctrines, Communism and Socialism, Politics and government, Biography, Engels, friedrich, 1820-1895, Political and diplomatic history, Political parties, Socialism. Communism. Anarchism, Political Ideologies, Communism & Socialism, Communistisch manifest (Marx), Manifest der Kommunistischen Partei (Marx, Karl), Literary collections, Hx39.5.a523 m364 2011, 335.4/22, General, Hx276 .m3 1948a, World history, Communist parties, Communism, history, Congresses, Comunismo, Socialismo, Capitalismo, Filosofía marxista","The Communist manifesto Karl Marx, Friedrich Engels Communism, Sources, Capitalism, Socialism, Social conflict, Marxism, History, Long Now Manual for Civilization, Social justice, Prolétariat, Nonfiction, Politics, Classic Literature, Social contract, Political science, Economics, Capital, Philosophy and ethics, Communisme, Socialisme, Communism., Marxisme, Histoire, Mouvement ouvrier, Marx, karl, 1818-1883, Communism, germany, France, history, february revolution, 1848, Politics and Social Sciences, Ideologies and Doctrines, Communism and Socialism, Politics and government, Biography, Engels, friedrich, 1820-1895, Political and diplomatic history, Political parties, Socialism. Communism. Anarchism, Political Ideologies, Communism & Socialism, Communistisch manifest (Marx), Manifest der Kommunistischen Partei (Marx, Karl), Literary collections, Hx39.5.a523 m364 2011, 335.4/22, General, Hx276 .m3 1948a, World history, Communist parties, Communism, history, Congresses, Comunismo, Socialismo, Capitalismo, Filosofía marxista",
0312968051,The Set-Up,Paul Emil Erdman,,"Paul Erdman, Paul Emil Erdman, Fiction, International, Finance, US Federal Reserve, White House, Financial, Conspiracy, Banks, Banking, Fraud, Framed, Prison, Jail, Large type books, International finance, Conspiracies, Banks and banking, Switzerland, fiction, Fiction, thrillers, espionage","The Set-Up Paul Emil Erdman Paul Erdman, Paul Emil Erdman, Fiction, International, Finance, US Federal Reserve, White House, Financial, Conspiracy, Banks, Banking, Fraud, Framed, Prison, Jail, Large type books, International finance, Conspiracies, Banks and banking, Switzerland, fiction, Fiction, thrillers, espionage",The Set-Up may refer to:
0373035470,Daddy And Daughters  (Daddy Boom),Barbara McMahon,,"Fiction, romance, contemporary, Twins, fiction, Fathers and daughters, fiction","Daddy And Daughters  (Daddy Boom) Barbara McMahon Fiction, romance, contemporary, Twins, fiction, Fathers and daughters, fiction",
0373614756,Evil Alliance (Superbolan),Don Pendleton,,"Fiction, men's adventure, Bolan, mack (fictitious character), fiction","Evil Alliance (Superbolan) Don Pendleton Fiction, men's adventure, Bolan, mack (fictitious character), fiction",
0394729382,Mickelsson's ghosts,John Gardner,,"Fiction, Middle-aged men, Teenage girls, Fiction, general","Mickelsson's ghosts John Gardner Fiction, Middle-aged men, Teenage girls, Fiction, general",
0440225280,Fatal Analysis,"Martin Dr Obler, Thomas Clavin",,"Psychiatrists, Serial murderers, Serial murders, Biography, Case studies, Murder","Fatal Analysis Martin Dr Obler, Thomas Clavin Psychiatrists, Serial murderers, Serial murders, Biography, Case studies, Murder",
0449901785,Louisiana Dawn,Jennifer Blake,,"collectionID:Abodice_ripper, Fiction, romance, historical, Fiction, romance, historical, general, Historical Romance, Bodice Ripper, Louisiana History","Louisiana Dawn Jennifer Blake collectionID:Abodice_ripper, Fiction, romance, historical, Fiction, romance, historical, general, Historical Romance, Bodice Ripper, Louisiana History",
0804100861,OUT IN THE COLD,Janet Quin-Harkin,,,OUT IN THE COLD Janet Quin-Harkin,
0888502788,,,,,,Nan or NAN may refer to:
0919964931,Franklin in the dark,"Paulette Bourgeois, Brenda Clark, Bonnie Bader",,"Children's fiction, Franklin (fictitious character : bourgeois), fiction, Turtles, fiction, Fear, fiction, Toy and movable books, Novela juvenil, Animals, Turtles, Readers, Juvenile fiction, Readers (Primary), Fiction, Fear of the dark, Animales, Fear, Spanish language materials, Franklin (Fictitious character : Bourgeois), Literature and fiction, juvenile, Juvenile literature, Benjamin (Personnage fictif : Bourgeois), Ouvrages pour la jeunesse, Picture books, Franklin (Fictitious character), Peur, Ouvrages illustrés, Nuit, Tortues, Animaux, Polish language materials","Franklin in the dark Paulette Bourgeois, Brenda Clark, Bonnie Bader Children's fiction, Franklin (fictitious character : bourgeois), fiction, Turtles, fiction, Fear, fiction, Toy and movable books, Novela juvenil, Animals, Turtles, Readers, Juvenile fiction, Readers (Primary), Fiction, Fear of the dark, Animales, Fear, Spanish language materials, Franklin (Fictitious character : Bourgeois), Literature and fiction, juvenile, Juvenile literature, Benjamin (Personnage fictif : Bourgeois), Ouvrages pour la jeunesse, Picture books, Franklin (Fictitious character), Peur, Ouvrages illustrés, Nuit, Tortues, Animaux, Polish language materials",
0060163933,Brush up your Shakespeare!,Michael Macrone,,"Quotations, Terms and phrases, English Quotations, Language, English language, Shakespeare, William, 1564-1616 -- Language, Language and languages, Early modern, Shakespeare, william, 1564-1616, criticism and interpretation, Shakespeare, william, 1564-1616, outlines, syllabi, etc., Shakespeare, william, 1564-1616, quotations","Brush up your Shakespeare! Michael Macrone Quotations, Terms and phrases, English Quotations, Language, English language, Shakespeare, William, 1564-1616 -- Language, Language and languages, Early modern, Shakespeare, william, 1564-1616, criticism and interpretation, Shakespeare, william, 1564-1616, outlines, syllabi, etc., Shakespeare, william, 1564-1616, quotations",
0120790629,Fractals everywhere,Michael F. Barnsley,,"Fractals, Mathematics","Fractals everywhere Michael F. Barnsley Fractals, Mathematics",
0131767690,Decoding Ancient History,THOMAS WICK,,"History, ancient","Decoding Ancient History THOMAS WICK History, ancient",
0262161125,Foundations of cognitive science,Michael I. Posner,,"Cognition, Cognitive science, Cognitiewetenschap, Sciences cognitives, Cognitive psychology, Psychologie cognitive, SCIENCE, PSYCHOLOGY","Foundations of cognitive science Michael I. Posner Cognition, Cognitive science, Cognitiewetenschap, Sciences cognitives, Cognitive psychology, Psychologie cognitive, SCIENCE, PSYCHOLOGY",
0300014961,The double-cross system in the war of 1939 to 1945,"J. C. Masterman, John C. Masterman, Norman Holmes Pearson",,"World war, 1939-1945, secret service, great britain, Espionage, World war, 1939-1945, secret service, World war, 1939-1945, military intelligence, World war, 1939-1945, great britain, HISTORY / Military / World War II, HISTORY / General, HISTORY / Military / Strategy, Spies, Germany, history","The double-cross system in the war of 1939 to 1945 J. C. Masterman, John C. Masterman, Norman Holmes Pearson World war, 1939-1945, secret service, great britain, Espionage, World war, 1939-1945, secret service, World war, 1939-1945, military intelligence, World war, 1939-1945, great britain, HISTORY / Military / World War II, HISTORY / General, HISTORY / Military / Strategy, Spies, Germany, history",
0312105045,Modern Classic Short Novels of Science Fiction,Gardner R. Dozois,,"American Science fiction, Science fiction","Modern Classic Short Novels of Science Fiction Gardner R. Dozois American Science fiction, Science fiction","Modern Classic Short Novels of Science Fiction is an anthology of science fiction short works edited by American writers Gardner Dozois. It was first published in hardcover by St. Martin's Griffin in February 1994, which also issued a trade paperback edition in September of the same year and an ebook edition in October 2014."
0802713122,Longitude,Dava Sobel,,"Royal Society, Harrison timekeepers, Kendall timekeepers, Lunar distance method, Lunar tables, chronometer, GMT, Literature in Italian, History, Biography, Chronometers, Clock and watch makers, Measurement, Longitude, Long Now Manual for Civilization, Nonfiction, Science, Horology, Astronomical clocks, Research, Harrison, john, 1693-1776, Chronomètre, Navigatie, Sterrenkunde, Histoire, Scheepvaart, Horlogemakers, Geografische lengte, Large type books, Geography, Navigasjon, Biografi, Clocks and watch makers, Astronomical clock, Biographie, Schiffschronometer, Geografische Länge, Messung, Great britain, biography, Scientists, Social & cultural aspects of technology, Scientists - biography, Science - applied, Applied science, General & miscellaneous transportation, Physics, Exploration & discovery, Scient, Biography and autobiography","Longitude Dava Sobel Royal Society, Harrison timekeepers, Kendall timekeepers, Lunar distance method, Lunar tables, chronometer, GMT, Literature in Italian, History, Biography, Chronometers, Clock and watch makers, Measurement, Longitude, Long Now Manual for Civilization, Nonfiction, Science, Horology, Astronomical clocks, Research, Harrison, john, 1693-1776, Chronomètre, Navigatie, Sterrenkunde, Histoire, Scheepvaart, Horlogemakers, Geografische lengte, Large type books, Geography, Navigasjon, Biografi, Clocks and watch makers, Astronomical clock, Biographie, Schiffschronometer, Geografische Länge, Messung, Great britain, biography, Scientists, Social & cultural aspects of technology, Scientists - biography, Science - applied, Applied science, General & miscellaneous transportation, Physics, Exploration & discovery, Scient, Biography and autobiography","Longitude (, AU and UK also ) is a geographic coordinate that specifies the east-west position of a point on the surface of the Earth, or another celestial body. It is an angular measurement, usually expressed in degrees and denoted by the Greek letter lambda (λ). Meridians are imaginary semicircular lines running from pole to pole that connect points with the same longitude."
